0,日本の絶景,Tokyo Japan,http://bit.ly/cwwqbd
1,チェコの絶景,Prague Czech,http://bit.ly/cmcqUk
2,アメリカの絶景,Illinois USA,http://bit.ly/9o72XG
3,フランスの絶景,Mont-saint-michel,http://bit.ly/asc3fh
4,シンガポールの絶景,Marina Bay Sands,http://bit.ly/9MbKGP
